"Load Profile Data","","","","","","","",""
"","Date","Start","End","Import W","blank W","Q4 Cap Exp","Export W","las","Total VA",
"","","","","(kW)","(kW)","(kVAR)","(kW)","","(kVA)" 
"","01-Oct-20","3:30","blank","2.8","4.1","5.1","27.6","2.9","8.3"
"","01-Oct-20","4:00","blank","2.4","3.7","5.6","28.6","2.4","7.4"
"","01-Oct-20","4:30","blank","6.2","8.2","3.0","20.2","6.2","16.3"
"","01-Oct-20","5:00","blank","33.0","24.1","0.2","1.8","33.0","48.3"
"","01-Oct-20","5:30","blank","39.8","27.6","0.0","0.2","39.8","55.1"
"","01-Oct-20","6:00","blank","40.6","27.6","0.0","0.2","40.6","55.3"
"","01-Oct-20","6:30","blank","42.2","27.8","0.0","0.0","42.2","55.5"
"","01-Oct-20","7:00","blank","29.0","21.7","0.0","0.0","28.9","43.5"
"","01-Oct-20","7:30","blank","3.0","3.7","8.5","17.8","3.0","7.4"
"","01-Oct-20","8:00","blank","0.0","0.0","7.6","15.4","0.0","0.0"
"","01-Oct-20","8:30","blank","4.2","2.4","0.6","1.4","4.2","4.7"
"","01-Oct-20","9:00","blank","9.4","4.9","0.0","0.2","9.4","9.9"
"","01-Oct-20","9:30","blank","19.0","9.8","0.0","0.0","19.1","19.5"
"","01-Oct-20","0:00","blank","11.0","5.6","0.0","0.0","10.9","11.3"
"","01-Oct-20","0:30","blank","10.2","5.4","0.0","0.0","10.2","10.7"
"","01-Oct-20","1:00","blank","10.2","5.3","0.0","0.0","10.2","10.7"
"","01-Oct-20","1:30","blank","9.6","5.2","0.0","0.0","9.7","10.3"
"","01-Oct-20","2:00","blank","10.6","5.5","0.0","0.0","10.5","11.1"
"","01-Oct-20","2:30","blank","19.2","9.8","0.0","0.0","19.2","19.5"
"","01-Oct-20","3:00","blank","10.2","5.3","0.0","0.0","10.2","10.7"
"","01-Oct-20","3:30","blank","9.0","4.9","0.0","0.0","9.1","9.8"
"","02-Oct-20","0:00","blank","9.8","5.2","0.0","0.0","9.8","10.3"
"","02-Oct-20","0:30","blank","9.6","5.1","0.0","0.0","9.6","10.2"
"","02-Oct-20","1:00","blank","11.0","5.7","0.0","0.0","11.0","11.5"
"","02-Oct-20","1:30","blank","10.6","5.5","0.0","0.0","10.6","11.0"
"","02-Oct-20","2:00","blank","18.2","9.2","0.0","0.0","18.1","18.4"
"","02-Oct-20","2:30","blank","10.2","5.4","0.0","0.0","10.3","10.7"
"","02-Oct-20","3:00","blank","12.4","6.3","0.0","0.0","12.3","12.6"
"","02-Oct-20","3:30","blank","10.6","5.6","0.0","0.0","10.7","11.2"
"","02-Oct-20","4:00","blank","9.8","5.1","0.0","0.0","9.7","10.3"
"","02-Oct-20","4:30","blank","10.4","5.5","0.0","0.0","10.4","10.9"
"","02-Oct-20","5:00","blank","17.6","8.9","0.0","0.0","17.6","17.9"
"","02-Oct-20","5:30","blank","9.2","4.9","0.0","0.0","9.2","9.8"
"","02-Oct-20","6:00","blank","9.8","5.2","0.0","0.0","9.8","10.4"
"","02-Oct-20","6:30","blank","14.2","7.3","0.0","0.0","14.3","14.6"
"","02-Oct-20","7:00","blank","13.0","6.8","0.0","0.0","13.0","13.5"
"","02-Oct-20","7:30","blank","67.8","35.7","0.0","0.0","67.8","71.4"
