Load profile 2
Meter serial number : ;Farbu Pharm (MD) (N° 50083320) - Otjiwarongo
Start date : ;01/10/2020
End date : ;04/10/2021



Number;Label;Unit
1;Import Active Energy Aggregate;Wh
2;Import Apparent Energy Aggregate;VAh
3;Export Active Energy Aggregate;Wh
4;Export Apparent Energy Aggregate;VAh
5;Import Active Power Aggregate;W
6;Import Apparent Power Aggregate;VA



Date;1;2;3;4;5;6;
01/10/2020 13:30;1 400;4 100;5 100;13 800;2 900;8 300;
01/10/2020 14:00;1 200;3 700;5 600;14 300;2 400;7 400;
01/10/2020 14:30;3 100;8 200;3 000;10 100;6 200;16 300;
01/10/2020 15:00;16 500;24 100;200;900;33 000;48 300;
01/10/2020 15:30;19 900;27 600;0;100;39 800;55 100;
01/10/2020 16:00;20 300;27 600;0;100;40 600;55 300;
01/10/2020 16:30;21 100;27 800;0;0;42 200;55 500;
01/10/2020 17:00;14 500;21 700;0;0;28 900;43 500;
01/10/2020 17:30;1 500;3 700;8 500;8 900;3 000;7 400;
01/10/2020 18:00;0;0;7 600;7 700;0;0;
01/10/2020 18:30;2 100;2 400;600;700;4 200;4 700;
01/10/2020 19:00;4 700;4 900;0;100;9 400;9 900;
01/10/2020 19:30;9 500;9 800;0;0;19 100;19 500;
01/10/2020 20:00;5 500;5 600;0;0;10 900;11 300;
01/10/2020 20:30;5 100;5 400;0;0;10 200;10 700;
01/10/2020 21:00;5 100;5 300;0;0;10 200;10 700;
01/10/2020 21:30;4 800;5 200;0;0;9 700;10 300;
01/10/2020 22:00;5 300;5 500;0;0;10 500;11 100;
01/10/2020 22:30;9 600;9 800;0;0;19 200;19 500;
01/10/2020 23:00;5 100;5 300;0;0;10 200;10 700;
01/10/2020 23:30;4 500;4 900;0;0;9 100;9 800;
02/10/2020 00:00;4 900;5 200;0;0;9 800;10 300;
02/10/2020 00:30;4 800;5 100;0;0;9 600;10 200;
02/10/2020 01:00;5 500;5 700;0;0;11 000;11 500;
02/10/2020 01:30;5 300;5 500;0;0;10 600;11 000;
02/10/2020 02:00;9 100;9 200;0;0;18 100;18 400;
02/10/2020 02:30;5 100;5 400;0;0;10 300;10 700;
02/10/2020 03:00;6 200;6 300;0;0;12 300;12 600;
02/10/2020 03:30;5 300;5 600;0;0;10 700;11 200;
02/10/2020 04:00;4 900;5 100;0;0;9 700;10 300;
02/10/2020 04:30;5 200;5 500;0;0;10 400;10 900;
02/10/2020 05:00;8 800;8 900;0;0;17 600;17 900;
02/10/2020 05:30;4 600;4 900;0;0;9 200;9 800;
02/10/2020 06:00;4 900;5 200;0;0;9 800;10 400;
02/10/2020 06:30;7 100;7 300;0;0;14 300;14 600;
02/10/2020 07:00;6 500;6 800;0;0;13 000;13 500;
02/10/2020 07:30;33 900;35 700;0;0;67 800;71 400;
02/10/2020 08:00;45 500;48 200;0;0;91 000;96 400;
02/10/2020 08:30;35 100;37 500;0;0;70 100;75 000;
02/10/2020 09:00;31 100;35 600;0;0;62 300;71 200;
02/10/2020 09:30;30 500;35 500;0;0;61 000;71 100;
02/10/2020 10:00;18 000;25 300;0;0;36 000;50 600;
02/10/2020 10:30;18 600;26 700;0;0;37 200;53 300;
02/10/2020 11:00;13 500;23 300;0;0;27 000;46 600;
02/10/2020 11:30;20 300;28 000;0;0;40 500;56 100;
02/10/2020 12:00;13 700;23 600;200;1 700;27 500;47 200;
02/10/2020 12:30;9 300;19 300;400;2 300;18 600;38 600;
02/10/2020 13:00;4 900;13 900;1 400;6 300;9 800;27 800;
02/10/2020 13:30;6 400;16 100;1 000;4 800;12 800;32 100;
02/10/2020 14:00;5 100;14 400;1 200;6 100;10 100;28 800;
02/10/2020 14:30;11 000;20 400;400;2 300;22 100;40 800;
02/10/2020 15:00;15 500;24 600;0;100;30 900;49 200;
02/10/2020 15:30;17 400;25 600;100;700;34 900;51 300;
02/10/2020 16:00;21 400;28 100;0;0;42 700;56 200;
02/10/2020 16:30;27 200;33 200;0;100;54 400;66 400;
02/10/2020 17:00;9 700;16 800;500;2 200;19 500;33 500;
02/10/2020 17:30;5 400;11 800;900;4 600;10 800;23 600;
02/10/2020 18:00;9 100;16 800;200;1 500;18 100;33 700;
02/10/2020 18:30;16 500;22 600;0;0;33 000;45 100;
02/10/2020 19:00;23 900;28 200;0;0;47 900;56 400;
02/10/2020 19:30;20 300;25 600;0;0;40 600;51 200;
02/10/2020 20:00;18 400;23 600;0;0;36 700;47 300;
